FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
&    S870-T       15 39 03.50 +00 14 54.0    &     &     &      &     &     &    10.852 (0.007) [03]  10.673 (0.013) [03]  10.649 (0.004) [03]    &     &     &       &     &     &
&    P177-D       15 59 13.60 +47 36 40.0    &     &     &      &     &     &    12.220 (0.012) [04]  11.918 (0.017) [04]  11.873 (0.007) [04]    &     &     &       &     &     &
&    BS6092       16 19 44.44 +46 18 48.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &      4.37 (0.03) [02]
137  p565-c       16 26 42.72 +05 52 20.3    &     &     &      &     &     &    12.141 (0.010) [03]  11.893 (0.014) [03]  11.843 (0.015) [03]    &     &     &       &     &     &
138  p275-a       16 28 06.72 +34 58 48.3    &     &     &      &     &     &    10.386 (0.008) [03]  10.387 (0.007) [03]  10.409 (0.007) [03]  10.44  (0.03)  [03]   &     &     &
&    P330-E       16 31 33.60 +30 08 48.0    &     &     &      &     &     &    11.757 (0.010) [03]  11.457 (0.020) [03]  11.428 (0.012) [03]    &     &     &       &     &     &
139  p137-f       16 33 52.96 +54 28 22.1    &     &     &      &     &     &    12.683 (0.009) [04]  12.201 (0.011) [03]  12.104 (0.018) [04]    &     &     &       &     &     &
&    SA108-475    16 37 00.00 -00 34 39.0   9.66 (0.02)  &     9.41 (0.03)  &      &      &      &      &      &      &      &      &      &      &     &     &       &     &     &
27   M13-A14      16 40 41.56 +36 21 12.4    &     &     &      &     &     &    13.479 (0.022) [04]  13.193 (0.008) [03]  13.129 (0.011) [04]    &     &     &       &     &     &
140  s587-t       17 13 22.65 -18 53 33.8    &     &     &      &     &     &    10.771 (0.015) [04]  10.443 (0.009) [03]  10.367 (0.016) [04]  10.34  (0.03)  [02]   &     &     &
&    SA109-381    17 44 12.00 -00 20 33.0  10.72 (0.02)  &    10.54 (0.03)  &      &      &      &      &      &      &      &      &      &      &     &     &       &     &     &
&    HD162208     17 47 58.56 +39 58 50.9    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.125 (0.014) [03]  7.05 (0.02) [03]
&    HD161903     17 48 19.22 -01 48 29.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.034 (0.014) [03]  6.97 (0.02) [03]
&    HD161743     17 48 57.93 -38 07 07.5    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.623 (0.020) [02]  7.67 (0.03) [01]
141  p389-d       17 48 58.87 +23 17 43.7    &     &     &      &     &     &    11.152 (0.002) [02]  10.859 (0.005) [02]  10.790 (0.010) [02]    &     &     &       &     &     &
35   &            18 27 13.52 +04 03 09.4    &     &     &      &     &     &    12.167 (0.007) [02]  11.830 (0.010) [02]  11.729 (0.010) [02]    &     &     &       &     &     &
143  Ser-EC68     18 29 53.79 +01 13 29.9    &     &     &      &     &     &    16.534 (0.008) [02]  14.271 (0.003) [02]  12.908 (0.001) [02]    &     &     &       &     &     &
