FS   Other            RA (J2000)  Dec              I                  Z                Y(MKO)                J(MKO)               H(MKO)               K(MKO)               L'(98)              M(98)
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N     mag     sem    N      mag    sem    N     mag     sem    N     mag   sem   N 
&    SA110-232    18 40 52.00 +00 01 55.0  11.47 (0.02)  &    11.30 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
&    L547         18 51 15.60 -04 16 02.0    &     &     &      &     &     &      &      &      &    11.753 (0.013) [04]   9.890 (0.010) [03]   8.889 (0.005) [04]    &      &      &     &     &     &
146  p280-u       18 54 04.01 +37 07 18.6    &     &     &      &     &     &      &      &      &    10.708 (0.008) [04]  10.209 (0.006) [04]  10.120 (0.012) [04]    &      &      &     &     &     &
147  p230-a       19 01 55.27 +42 29 19.6    &     &     &      &     &     &      &      &      &     9.868 (0.011) [04]   9.839 (0.004) [05]   9.834 (0.009) [05]   9.84  (0.02)  [03]   &     &     &
&    S808-C       19 01 55.40 -04 29 12.0    &     &     &      &     &     &      &      &      &    10.925 (0.013) [03]  10.628 (0.014) [03]  10.543 (0.009) [03]    &      &      &     &     &     &
&    GL748        19 12 14.60 +02 53 11.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.012 (0.020) [02]  6.00 (0.03) [02] 
148  s810-a       19 41 23.52 -03 50 56.1    &     &     &      &     &     &      &      &      &     9.437 (0.010) [05]   9.423 (0.008) [05]   9.438 (0.005) [05]   9.46  (0.02)  [04]   &     &     &
149  p338-c       20 00 39.25 +29 58 40.0    &     &     &      &     &     &      &      &      &    10.073 (0.012) [03]  10.061 (0.018) [05]  10.061 (0.015) [05]  10.06  (0.02)  [05]   &     &     &
&    BS7773       20 20 39.82 -12 45 32.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &    4.86 (0.02) [03]
150  fs2-22       20 36 08.44 +49 38 23.5    &     &     &      &     &     &      &      &      &    10.133 (0.006) [03]   9.985 (0.007) [03]   9.941 (0.011) [03]   9.91  (0.02)  [04]   &     &     &
&    S813-D       20 41 05.10 -05 03 43.0    &     &     &      &     &     &      &      &      &    11.434 (0.014) [04]  11.118 (0.009) [04]  11.053 (0.012) [04]    &      &      &     &     &     & 
34   EG141        20 42 34.73 -20 04 34.8    &     &     &      &     &     &    12.760 (0.014) [14]  12.883 (0.009) [04]  12.930 (0.013) [04]  13.000 (0.016) [02]    &      &      &     &     &     &
&    SA112-822    20 42 54.00 +00 15 02.0  10.31 (0.02)  &    10.12 (0.03)  &      &      &      &      &      &      &      &      &      &      &      &      &      &      &      &     &     &     &
&    P576-F       20 52 47.30 +06 40 05      &     &     &      &     &     &    12.473 (0.013) [47]  12.215 (0.011) [03]  11.924 (0.007) [03]  11.854 (0.015) [03]    &      &      &     &     &     &
&    GL811.1      20 56 46.60 -10 26 54.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &      &      &     6.691 (0.014) [03]  6.72 (0.02) [03]
